Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
XIAOMI,Mi 9T,OLED,JA,280,480
XIAOMI,Mi A1,OLED,JA,90,230
XIAOMI,Mi A2,OLED,JA,90,230
XIAOMI,Mi A2 Lite,OLED,JA,95,230
XIAOMI,Mi A3,INCELL,JA,120,260
XIAOMI,Mi A3,OLED,JA,250,400
XIAOMI,Mi Max,OLED,JA,160,300
XIAOMI,Mi Note 10 Pro,OLED,JA,290,490
XIAOMI,Poco C40,OLED,JA,95,230
XIAOMI,Poco F1,OLED,JA,120,260
XIAOMI,Poco F2 Pro,OLED,JA,110,260
XIAOMI,Poco M3,OLED,JA,90,230
XIAOMI,Poco M3 Pro,OLED,JA,110,260
XIAOMI,Poco M4,OLED,JA,120,260
XIAOMI,Poco M4 Pro 4G,OLED,JA,280,480
XIAOMI,Poco M5,OLED,JA,120,260
XIAOMI,Poco M6 Pro,OLED,JA,130,280
XIAOMI,Poco X3,OLED,JA,120,260
XIAOMI,Poco X3 GT,OLED,JA,120,260
XIAOMI,Poco X3 NFC,OLED,JA,125,290
XIAOMI,Poco X3 Pro,OLED,JA,120,260
XIAOMI,Poco X4 Pro,INCELL,JA,120,260
XIAOMI,Poco X4 Pro,OLED,JA,280,480
XIAOMI,Poco X4 GT,OLED,JA,125,290
XIAOMI,Poco X5 Pro,INCELL,JA,150,300
XIAOMI,Poco X5 Pro,OLED,JA,280,480
XIAOMI,Poco X6 Pro,INCELL,JA,130,280
XIAOMI,Redmi 10,OLED,JA,105,260
XIAOMI,Redmi 10A,OLED,JA,95,230
XIAOMI,Redmi 10C,OLED,JA,95,230
XIAOMI,Redmi 10 5G,OLED,JA,105,260
XIAOMI,Redmi 12,OLED,JA,105,260
XIAOMI,Redmi 12C,OLED,JA,95,230
XIAOMI,Redmi 13,OLED,JA,120,260
XIAOMI,Redmi 13C,OLED,JA,95,230
XIAOMI,Redmi 14C,OLED,JA,100,260
XIAOMI,Redmi 15C,OLED,JA,100,260
XIAOMI,Redmi 5,OLED,JA,90,230
XIAOMI,Redmi 6,OLED,JA,80,220
XIAOMI,Redmi 6A,OLED,JA,80,220
XIAOMI,Redmi 7,OLED,JA,85,220
XIAOMI,Redmi 7A,OLED,JA,90,230
XIAOMI,Redmi 8,OLED,JA,90,230
XIAOMI,Redmi 8A,OLED,JA,90,230
XIAOMI,Redmi 9,OLED,JA,85,220
XIAOMI,Redmi 9A,OLED,JA,85,220
XIAOMI,Redmi 9C,OLED,JA,85,220
XIAOMI,Redmi 9T,OLED,JA,90,230
XIAOMI,Redmi A1,OLED,JA,90,230
XIAOMI,Redmi A2,OLED,JA,90,230
XIAOMI,Redmi A3,OLED,JA,95,230
XIAOMI,Redmi A5,OLED,JA,100,260
XIAOMI,Redmi Note 10,OLED,JA,250,460
XIAOMI,Redmi Note 10 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 10 5G,OLED,JA,105,260
XIAOMI,Redmi Note 10 Pro 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 10 Pro 4G,OLED,JA,280,480
XIAOMI,Redmi Note 10 Pro 5G,OLED,JA,140,290
XIAOMI,Redmi Note 10S,OLED,JA,250,460
XIAOMI,Redmi Note 11 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 11 4G,OLED,JA,280,480
XIAOMI,Redmi Note 11 5G,OLED,JA,115,260
XIAOMI,Redmi Note 11 Pro 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 11 Pro 4G,OLED,JA,280,480
XIAOMI,Redmi Note 11S 4G,OLED,JA,280,480
XIAOMI,Redmi Note 12 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 12 4G,OLED,JA,300,500
XIAOMI,Redmi Note 12 Pro 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 12 Pro 4G,OLED,JA,280,480
XIAOMI,Redmi Note 12 Pro 5G,OLED,JA,270,470
XIAOMI,Redmi Note 12S,INCELL,JA,120,260
XIAOMI,Redmi Note 13 4G,INCELL,JA,120,260
XIAOMI,Redmi Note 13 Pro 4G,INCELL,JA,130,280
XIAOMI,Redmi Note 14,INCELL,JA,125,270
XIAOMI,Redmi Note 14 Pro,INCELL,JA,150,300
XIAOMI,Redmi Note 14 Pro,OLED,JA,510,710
XIAOMI,Redmi Note 5,OLED,JA,90,230
XIAOMI,Redmi Note 5 Plus,OLED,JA,90,230
XIAOMI,Redmi Note 5 Pro,OLED,JA,90,230
XIAOMI,Redmi Note 6,OLED,JA,100,260
XIAOMI,Redmi Note 6 Pro,OLED,JA,100,260
XIAOMI,Redmi Note 7,OLED,JA,90,230
XIAOMI,Redmi Note 7 Pro,OLED,JA,90,230
XIAOMI,Redmi Note 8,INCELL,JA,90,230
XIAOMI,Redmi Note 8,OLED,JA,95,230
XIAOMI,Redmi Note 8 Pro,INCELL,JA,90,230
XIAOMI,Redmi Note 8 Pro,OLED,JA,95,230
XIAOMI,Redmi Note 9,OLED,JA,95,230
XIAOMI,Redmi Note 9 Pro,OLED,JA,95,230
XIAOMI,Redmi Note 9S,OLED,JA,95,230
XIAOMI,Redmi Note 9T,OLED,JA,95,230
XIAOMI,S2,OLED,JA,110,260
ZTE,A3 2020,OLED,JA,450,600
ZTE,A31,OLED,JA,100,260
ZTE,A31 Lite,OLED,JA,100,260
ZTE,A31 Plus,OLED,JA,90,230
ZTE,A34,OLED,JA,100,260
ZTE,A35e,OLED,JA,95,230
ZTE,A5 2020,OLED,JA,100,260
ZTE,A51,OLED,JA,100,260
ZTE,A52,OLED,JA,100,260
ZTE,A52 Lite,OLED,JA,115,260
ZTE,A55,OLED,JA,100,260
ZTE,A71,OLED,JA,115,260
ZTE,A72,OLED,JA,115,260
ZTE,A7s,OLED,JA,120,320
ZTE,V20 Smart,OLED,JA,120,260
ZTE,V30,OLED,JA,110,260
ZTE,V50,OLED,JA,110,260
ZTE,V50 Vita,OLED,JA,120,260
